Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
G4U2F0,58,,Homeobox domain-containing protein,Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica),1109443.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4S4LG61,58,,Homeobox domain-containing protein,Phellinidium pouzarii,167371.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
E3KGA5,58,10545053.0,Homeobox domain-containing protein,Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL) (Black stem rust fungus),418459.0,"DNA-binding transcription factor activity, RNA polymerase II-specific, sequence-specific double-stranded DNA binding",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0K6G4U5,57,,Homeobox domain-containing protein,Rhizoctonia solani,456999.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0L0RVD5,57,,Homeobox domain-containing protein,Allomyces macrogynus (strain ATCC 38327) (Allomyces javanicus var. macrogynus),578462.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2G5BK23,57,,Homeobox domain-containing protein,Coemansia reversa (strain ATCC 12441 / NRRL 1564),763665.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A098VUI8,58,25258484.0,Homeobox domain-containing protein,Mitosporidium daphniae,1485682.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2H9TPD8,57,,Uncharacterized protein,Paramicrosporidium saccamoebae,1246581.0,"DNA binding, zinc ion binding",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
Q5K9G9,58,,Homeobox domain-containing protein,Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans),214684.0,"DNA-binding transcription factor activity, RNA polymerase II-specific, sequence-specific double-stranded DNA binding",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A316W085,58,,Homeobox domain-containing protein,Ceraceosorus guamensis,1522189.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0D1DSZ0,56,23567814.0,"Chromosome 16, whole genome shotgun sequence",Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus),237631.0,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4P9XUX3,55,,Homeodomain-like protein,Thamnocephalis sphaerospora,78915.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A161HKN7,55,30033781.0,Homeobox domain-containing protein,Sugiyamaella lignohabitans,796027.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A5E8BQL1,54,,Homeobox domain-containing protein,Saprochaete ingens,2606893.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A507F9G1,55,,Homeobox domain-containing protein,Chytriomyces confervae,246404.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
F4P6F9,56,18241650.0,Homeobox domain-containing protein,Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus),684364.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4P9XY40,56,,Homeobox domain-containing protein,Piptocephalis cylindrospora,1907219.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
L2GW28,57,19878588.0,Homeobox domain-containing protein,Vavraia culicis (isolate floridensis) (Microsporidian parasite),948595.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0R0M410,57,,"Putative Homeodomain-like, Homeodomain-related, Homeobox protein",Pseudoloma neurophilia,146866.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
S7WCB8,57,,Homeobox domain protein,Spraguea lophii (strain 42_110) (Microsporidian parasite),1358809.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4Q9L877,57,,Homeobox domain-containing protein,Hamiltosporidium magnivora,148818.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1Y1S696,58,,HD5,Enterospora canceri,1081671.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
J9D5Q0,57,,Homeobox domain-containing protein,Edhazardia aedis (strain USNM 41457) (Microsporidian parasite),1003232.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A437AQL4,57,,Homeobox domain-containing protein,Tubulinosema ratisbonensis,291195.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2G5BC84,53,,Homeobox,Coemansia reversa (strain ATCC 12441 / NRRL 1564),763665.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1Y1YD00,53,,Homeobox domain-containing protein,Basidiobolus meristosporus CBS 931.73,1314790.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A261XT47,56,,Homeobox domain-containing protein,Bifiguratus adelaidae,1938954.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1Y1XYY7,55,,Homeobox domain-containing protein,Basidiobolus meristosporus CBS 931.73,1314790.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A397U3P7,54,,Homeobox domain-containing protein,Gigaspora rosea,44941.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
E3JQB3,55,10546652.0,Homeobox domain-containing protein,Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL) (Black stem rust fungus),418459.0,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
U5GY41,55,,Homeobox domain-containing protein,Microbotryum lychnidis-dioicae (strain p1A1 Lamole / MvSl-1064) (Anther smut fungus),683840.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4P9ZW97,52,,Homeobox domain-containing protein,Dimargaris cristalligena,215637.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A163MVP4,56,,Homeobox domain-containing protein,Absidia glauca (Pin mould),4829.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1Y1VEP5,55,,Homeobox domain-containing protein,Piromyces finnis,1754191.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A168LFL2,56,,Homeobox domain-containing protein,Absidia glauca (Pin mould),4829.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A507C1S0,57,,Homeobox domain-containing protein,Synchytrium microbalum,1806994.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
G7DWN9,55,26265317.0,Homeobox domain-containing protein,Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970),764103.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A138ZZ73,54,,Lim1/5,Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera),1344416.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4P9XQ73,52,,Homeobox domain-containing protein,Thamnocephalis sphaerospora,78915.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A139AMA2,57,,Homeobox domain-containing protein,Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera),1344416.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
W3X0K2,58,19274529.0,Homeobox domain-containing protein,Pestalotiopsis fici (strain W106-1 / CGMCC3.15140),1229662.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
R7YU28,58,19901907.0,Homeobox domain-containing protein,Coniosporium apollinis (strain CBS 100218) (Rock-inhabiting black yeast),1168221.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
F9X6Y4,58,13395535.0,Homeobox domain-containing protein,Zymoseptoria tritici (strain CBS 115943 / IPO323) (Speckled leaf blotch fungus) (Septoria tritici),336722.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0D1XZ84,58,27309021.0,Homeobox domain-containing protein,Verruconis gallopava,253628.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0S6XQ57,58,,Homeobox domain-containing protein,fungal sp. No.11243,1603295.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4U0WVZ8,58,,Homeobox domain-containing protein,Cryomyces minteri,331657.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A369GKK4,54,,Homeobox domain-containing protein,Ophiocordyceps camponoti-leonardi (nom. inval.),2039875.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1J5WJ46,58,,Homeobox domain-containing protein,Amphiamblys sp. WSBS2006,1866961.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A507FET1,58,,Homeobox domain-containing protein,Chytriomyces confervae,246404.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A507ENV1,58,,Homeobox domain-containing protein,Chytriomyces confervae,246404.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6N152,56,,Paired mesoderm homeobox protein 2-like,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6N6R7,56,,Q50 paired-like homeodomain transcription factor,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NQ58,56,,Homeobox protein-like protein,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NBE9,57,,Homeobox domain-containing protein,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6N2E2,56,,"Putative mannan endo-1,4-beta-mannosidase",Planoprotostelium fungivorum,1890364.0,"DNA binding, mannan endo-1,4-beta-mannosidase activity","DNA-binding, Glycosidase, Hydrolase",substituted mannan metabolic process,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6N0K5,57,,Uncharacterized protein,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6MZN4,57,,Aristaless-related homeobox protein-like,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NQA6,57,,Homeobox domain-containing protein,Planoprotostelium fungivorum,1890364.0,"DNA binding, transferase activity, transferring acyl groups","Acyltransferase, DNA-binding, Transferase",nan,nan,"Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A0A2P6NTZ3,58,,Homeobox protein MIXL1,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A137NSZ5,56,,Homeobox-domain-containing protein,Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638) (Delacroixia coronata),796925.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NJE5,51,,Ankyrin repeat-containing protein,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2T0FH62,55,,Homeobox protein HD-3,Wickerhamiella sorbophila,45607.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
D4B3Y0,55,9525820.0,"Homeobox transcription factor, putative",Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes),663331.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0D1YAJ5,56,27319220.0,Homeobox domain-containing protein,Exophiala mesophila (Black yeast),212818.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
D5GA02,56,9187043.0,Homeobox domain-containing protein,Tuber melanosporum (strain Mel28) (Perigord black truffle),656061.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6G0UKC5,58,,Uncharacterized protein,Halicephalobus sp. NKZ332,2598192.0,DNA binding,DNA-binding,"regulation of transcription, DNA-templated",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NZ71,58,,Homeobox protein aristaless-like 3-like,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A507DJ64,51,,Homeobox domain-containing protein,Chytriomyces confervae,246404.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0M0JJH2,56,,Family 47,Chrysochromulina tobinii,1460289.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6A4VQ02,58,,Homeobox protein prophet of Pit-1,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
V4A9C6,59,20237534.0,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
V3YX65,58,20248091.0,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A267DXS7,58,,Homeobox domain-containing protein,Macrostomum lignano,282301.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A267FYL1,57,,Homeobox domain-containing protein,Macrostomum lignano,282301.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0C2MM93,58,,Homeobox protein ceh-36,Thelohanellus kitauei (Myxosporean),669202.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A6NFQ7,57,503834.0,Divergent paired-related homeobox,Homo sapiens (Human),9606.0,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific double-stranded DNA binding",DNA-binding,regulation of transcription by RNA polymerase II,"Transcription, Transcription regulation","Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A0A177B7L7,58,,Homeobox domain-containing protein,Intoshia linei,1819745.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A7RUG2,47,5516911.0,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351.0,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
V3Z3J0,58,20249987.0,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6J8DF14,58,,Homeobox domain-containing protein,Mytilus coruscus (Sea mussel),42192.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1FD88,59,20206787.0,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412.0,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1FD75,59,20206774.0,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412.0,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1FD80,59,20206779.0,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412.0,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4S4LPQ8,58,,Homeobox domain-containing protein,Bondarzewia mesenterica,1095465.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A5M3N7Z1,58,19201628.0,Homeobox-domain-containing protein,Coniophora puteana (strain RWD-64-598) (Brown rot fungus),741705.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0C3E2N6,58,,Homeobox domain-containing protein,Scleroderma citrinum Foug A,1036808.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2A9NGH2,58,,Homeobox domain-containing protein,Amanita thiersii Skay4041,703135.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
K5X8K0,58,18823066.0,Homeobox domain-containing protein,Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392) (White button mushroom),597362.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A8N3J3,58,6005862.0,Homeobox domain-containing protein,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata),240176.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4S8M5A8,58,,Homeobox domain-containing protein,Dendrothele bispora (strain CBS 962.96),1314807.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0C3ND94,58,,Homeobox domain-containing protein,Phlebiopsis gigantea 11061_1 CR5-6,745531.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0C2XQ91,57,,Homeobox domain-containing protein,Amanita muscaria Koide BX008,946122.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
D8QL02,58,9592973.0,Homeobox domain-containing protein,Schizophyllum commune (strain H4-8 / FGSC 9210) (Split gill fungus),578458.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
J4G776,58,24097164.0,Homeobox domain-containing protein,Fibroporia radiculosa,599839.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0C3FCG4,58,,Homeobox domain-containing protein,Piloderma croceum (strain F 1598),765440.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0H2SFK6,58,,Homeobox-domain-containing protein,Schizopora paradoxa,27342.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4S4LIH5,58,,Homeobox domain-containing protein,Phellinidium pouzarii,167371.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
G4TJ63,58,,Homeobox domain-containing protein,Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica),1109443.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A067MK32,57,,Homeobox domain-containing protein,Botryobasidium botryosum FD-172 SS1,930990.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A164ULP4,58,,Homeobox domain-containing protein,Sistotremastrum niveocremeum HHB9708,1314777.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
J0WR94,58,,Homeobox-domain-containing protein,Auricularia subglabra (strain TFB-10046 / SS5) (White-rot fungus) (Auricularia delicata (strain TFB10046)),717982.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A165H3V6,58,,Homeobox domain-containing protein,Exidia glandulosa HHB12029,1314781.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4P9X0I0,56,,Homeobox domain-containing protein,Caulochytrium protostelioides,1555241.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0C3RYE6,58,,Homeobox domain-containing protein,Phlebiopsis gigantea 11061_1 CR5-6,745531.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0K6FTE8,57,,Uncharacterized protein,Rhizoctonia solani,456999.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NMD5,54,,Zinc finger homeobox protein 3-like,Planoprotostelium fungivorum,1890364.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,positive regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NMD5,55,,Zinc finger homeobox protein 3-like,Planoprotostelium fungivorum,1890364.0,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,positive regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NMI7,54,,Homeobox protein ANF-1,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NYS7,53,,Homeobox domain-containing protein,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6N1U7,53,,Homeobox domain-containing protein,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NY71,53,,Homeobox domain-containing protein,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NSU8,57,,Homeobox domain-containing protein,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NYH8,54,,Uncharacterized protein,Planoprotostelium fungivorum,1890364.0,"DNA binding, pseudouridine synthase activity, RNA binding, transmembrane transporter activity","DNA-binding, Isomerase, RNA-binding",pseudouridine synthesis,nan,"Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A0A2P6NID5,58,,Retinal homeobox protein-like protein-like,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NK10,58,,ALX homeobox protein 1-like,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NY37,53,,Uncharacterized protein,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NAK8,50,,Homeobox domain-containing protein,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NZA5,51,,Homeobox domain-containing protein,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NY05,54,,Homeobox protein,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NV01,55,,Uncharacterized protein,Planoprotostelium fungivorum,1890364.0,"ATP binding, DNA binding, protein tyrosine kinase activity",DNA-binding,nan,nan,"Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A0A2P6MWK3,55,,Putative homeobox protein,Planoprotostelium fungivorum,1890364.0,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P6NZG2,55,,Uncharacterized protein,Planoprotostelium fungivorum,1890364.0,"carbohydrate binding, DNA binding, hydrolase activity, hydrolyzing O-glycosyl compounds",DNA-binding,"carbohydrate metabolic process, proteolysis",nan,"Extracellular region or secreted, Nucleus",nan,nan,nan,Reference proteome,nan
